Episode	EpReward	EpSteps	EpDist	DistHigh	AverageStepReward	StdStepReward	MaxStepReward	MinStepReward	AverageDeltaProg	StdDeltaProg	MaxDeltaProg	MinDeltaProg	TotalSteps	EpTime	TotalTime
30	-99.9999999999986	1000	0.003539276	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	5.341768e-07	0.46879062	9.55367	-1.39754	26051	16.438247680664062	404.0414707660675
31	-99.9999999999986	1000	0.8264412	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0008238462	0.43493295	9.6458645	-1.3432152	27051	17.171587467193604	421.214058637619
32	-99.9999999999986	1000	0.01800003	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.6312897e-05	0.23334084	2.2146976	-1.8083938	28051	15.637572526931763	436.8526346683502
33	-99.9999999999986	1000	2.4722297	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0024697613	0.42584127	9.749372	-2.9604897	29051	15.900491952896118	452.75412464141846
34	-99.9999999999986	1000	0.0151603315	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.1335522e-05	0.42834044	9.550745	-2.4591258	30051	16.614275693893433	469.36940026283264
35	-99.9999999999986	1000	0.004440306	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.2939572e-06	0.4525188	9.548509	-3.1113045	31051	16.06040358543396	485.4308052062988
36	-99.9999999999986	1000	1.4203936	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00141837	0.25108913	3.400364	-1.5356255	32051	15.625531435012817	501.05738282203674
37	-99.9999999999986	1000	0.03210343	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.9683173e-05	0.22596872	1.1260567	-1.12509	33051	14.923067331314087	515.9814493656158
38	-99.9999999999986	1000	0.12732552	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.000118568656	0.1331647	0.9471156	-0.9971659	34051	14.867413520812988	530.8499047756195
39	-99.9999999999986	1000	0.005440568	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.9388964e-06	0.41504717	9.563315	-1.8003376	35051	16.392274141311646	547.2421789169312
40	-99.9999999999986	1000	0.0050812783	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.1022728e-06	0.065314	0.41090962	-0.28930515	36051	14.521375894546509	561.7645592689514
41	-99.9999999999986	1000	0.42169273	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00041931344	0.40372318	8.983837	-1.7910163	37051	16.225712537765503	577.9912757873535
42	-99.9999999999986	1000	0.69522774	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0006927476	0.4291657	9.650651	-1.5584111	38051	16.6777241230011	594.6705024242401
43	-99.9999999999986	1000	0.14139248	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.00013753746	0.42234027	9.455617	-2.0079126	39051	15.521878242492676	610.1933786869049
44	-99.9999999999986	1000	0.021185441	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	1.661323e-05	0.23512654	5.5875335	-1.1031597	40051	15.044645547866821	625.2390291690826
45	-99.9999999999986	1000	0.0054365373	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	2.9864311e-06	0.41590583	9.212597	-1.3278384	41051	15.897242784500122	641.1372721195221
46	-99.9999999999986	1000	1.153126	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.0011506479	0.45710713	9.746055	-4.5702114	42051	15.853848695755005	656.9931211471558
47	-99.9999999999986	1000	0.038312227	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	3.5420002e-05	0.2836464	3.5641103	-1.0799899	43051	14.648104906082153	671.6427290439606
48	-99.9999999999986	1000	0.795316	166.18796	-0.10000002	1.4901161e-08	-0.1	-0.1	0.000792169	0.4192424	9.6465	-1.403893	44051	16.014954566955566	687.6586835384369
